"year","sigma","dur_immunity","neg_llik","convergence","lci_sigma","uci_sigma","uci_dur_imm","lci_dur_imm"
2002,9.21360083456613e-08,10853519.8990644,107481.178514749,0,1.14989543537534e-09,7.3824486755188e-06,869644290.459846,135456.410732138
2003,9.21360083456613e-08,10853519.8990644,107481.178514749,0,1.20356577174608e-09,7.05324481067309e-06,830864439.214856,141778.71700792
2004,9.21360083456613e-08,10853519.8990644,107481.178514749,0,1.25563065504745e-09,6.76078112599996e-06,796412540.566881,147911.902687442
2005,9.21360083456613e-08,10853519.8990644,107481.178514749,0,1.32077812547057e-09,6.42730513942096e-06,757129438.105829,155586.202663172
2006,9.21360083456613e-08,10853519.8990644,107481.178514749,0,1.23916392987823e-09,6.85062228587141e-06,806995729.85333,145972.140671422
2007,9.21360083456613e-08,10853519.8990644,107481.178514749,0,8.77686963711534e-10,9.67206348602193e-06,1139358383.27965,103390.553778436
2008,9.21360083456613e-08,10853519.8990644,107481.178514749,0,1.85166320139056e-10,4.58455081220855e-05,5400550160.79069,21812.3877553505
2009,9.21360083456613e-08,10853519.8990644,107481.178514749,0,1.31675409450745e-10,6.44694713256026e-05,7594432431.77508,15511.2176265493
2010,9.21360083456613e-08,10853519.8990644,107481.178514749,0,6.61599713820801e-11,0.00012831087826273,15114879573.1018,7793.57146907212
2011,1.32779057658484e-07,7531308.15683345,107481.178514749,0,1.23036631701608e-10,0.000143292919424456,8127660731.36031,6978.71188622964
2012,3.34870624765292e-07,2986227.89234168,107481.178514749,0,6.87874096934544e-10,0.00016302159920025,1453754407.17483,6134.1564854338
2013,0.000135792815203007,7364.15986740553,107481.178514749,0,9.6853949256857e-05,0.000190386543886362,10324.8242087475,5252.472047588
2014,5.42002442239392e-06,184501.013661174,107481.178514749,0,1.29892272780279e-08,0.00226161757820952,76986873.7066107,442.161402367452
2015,4.48358168859674e-07,2230359.72009462,107481.178514749,0,4.5951128701834e-10,0.000437475755791776,2176225107.52405,2285.84095635226
2016,2.18217276383447e-06,458258.858589555,107481.178514749,0,1.7883524771189e-09,0.00266271779872642,559173883.669195,375.556133090146
2017,0.000246474753020948,4057.21067875464,107481.178514749,0,0.000192130285984938,0.000316190670124228,5204.80149640956,3162.64866261585
2018,6.07552829162262e-07,1645947.40078632,107481.178514749,0,3.63473892138323e-11,0.0101553494819539,27512292399.2418,98.4702694650738
2019,0.001637207262294,610.796215623204,107481.178514749,0,0.00156833689764633,0.00170910193066991,637.618104567163,585.102609771223
2020,0.00702652973679919,142.31776388319,107481.178514749,0,0.00684473380252042,0.00721315416589949,146.097719626696,138.635606144056
