"epidemic_year","epiSnoic","frac_incS_noclim","frac_incS_clim","diff_S_clim","provname"
2007,40300.9409637648,1.77,1.89,-0.12,"Banteay_Meanchey"
2007,61132.5589731401,1.76,1.75,0.01,"Battambang"
2007,43361.8831742969,2.13,2.27,-0.14,"Kampong_Cham"
2007,8347.43908207977,1.66,2.12,-0.46,"Kampong_Chhnang"
2007,43689.5125061183,2.88,2.84,0.04,"Kampong_Speu"
2007,12356.0879202297,2.37,2.45,-0.0800000000000001,"Kampong_Thom"
2007,5642.88647774704,3,3,0,"Kampot"
2007,21133.8977285248,1.98,2.25,-0.27,"Kandal"
2007,402.594246049862,1.83,1.68,0.15,"Kep"
2007,1278.24156028711,2.18,2.23,-0.0500000000000003,"Koh_Kong"
2007,4627.85091474241,1.24,1.2,0.04,"Kratie"
2007,2681.30788384027,2.98,1.29,1.69,"Otdar_Meanchey"
2007,786.868406688075,1.16,1.18,-0.02,"Pailin"
2007,16217.0155091605,1.1,1.02,0.0800000000000001,"Phnom_Penh"
2007,2509.46959552867,3,2.99,0.00999999999999979,"Preah_Sihanouk"
2007,4759.94792283599,1.58,1.44,0.14,"Preah_Vihear"
2007,86565.0274063166,1.77,1.88,-0.11,"Prey_Veng"
2007,19553.1593586228,1,1,0,"Pursat"
2007,79307.8880262034,3,3,0,"Siem_Reap"
2007,14511.8917213535,1,1,0,"Stung_Treng"
2007,14238.9747103723,3,2.99,0.00999999999999979,"Svay_Rieng"
2007,111971.10467078,1.72,2.02,-0.3,"Takeo"
2012,40455.4428852922,3,3,0,"Banteay_Meanchey"
2012,84244.7624964292,2.37,2.67,-0.3,"Battambang"
2012,14451.8815075304,2.68,2.89,-0.21,"Kampong_Cham"
2012,36820.075282764,1.34,1.34,0,"Kampong_Chhnang"
2012,30168.2994782913,1.79,1.95,-0.16,"Kampong_Speu"
2012,13482.5723844801,1.52,1.28,0.24,"Kampong_Thom"
2012,7569.12878799431,2.98,2.94,0.04,"Kampot"
2012,42839.5095836104,1.82,1.7,0.12,"Kandal"
2012,420.378082238454,1.02,1,0.02,"Kep"
2012,1382.4471333,2.98,2.99,-0.0100000000000002,"Koh_Kong"
2012,20522.5186824899,1,1,0,"Kratie"
2012,2303.85565207753,2.98,2.7,0.28,"Otdar_Meanchey"
2012,809.024453581238,2.99,2.96,0.0300000000000002,"Pailin"
2012,73873.489263799,1.39,1.42,-0.0299999999999998,"Phnom_Penh"
2012,2456.48258505621,2.88,2.61,0.27,"Preah_Sihanouk"
2012,8715.07268446931,3,3,0,"Preah_Vihear"
2012,304934.272126427,1.29,1.34,-0.05,"Prey_Veng"
2012,100267.498489482,1,1,0,"Pursat"
2012,19032.8622157848,2.97,2.99,-0.0200000000000005,"Siem_Reap"
2012,1281.24260630984,1,1.01,-0.01,"Stung_Treng"
2012,130299.135754268,2.53,2.99,-0.46,"Svay_Rieng"
2012,83953.9613145295,1.46,1.63,-0.17,"Takeo"
2019,80810.8147577975,2.87,2.99,-0.12,"Banteay_Meanchey"
2019,79725.1345194041,3,3,0,"Battambang"
2019,139028.410863015,1.18,1.23,-0.05,"Kampong_Cham"
2019,22453.6104955719,1.73,1.53,0.2,"Kampong_Chhnang"
2019,123377.308557104,1.84,1.82,0.0199999999999998,"Kampong_Speu"
2019,60184.3024611912,2.18,2.24,-0.0600000000000005,"Kampong_Thom"
2019,83834.0625550407,1.89,1.87,0.02,"Kampot"
2019,23295.434489129,2.16,1.94,0.22,"Kandal"
2019,478.785302885665,3,3,0,"Kep"
2019,5376.83578723627,2.01,1.82,0.19,"Koh_Kong"
2019,4429.73682929654,3,3,0,"Kratie"
2019,12538.6229637698,2.03,1.59,0.44,"Otdar_Meanchey"
2019,4116.61333913177,2.99,2.99,0,"Pailin"
2019,67150.254967763,1.84,1.74,0.0999999999999999,"Phnom_Penh"
2019,2819.00850073397,3,3,0,"Preah_Sihanouk"
2019,19969.6379879441,2.51,2.98,-0.47,"Preah_Vihear"
2019,68183.4818864256,1.94,1.78,0.16,"Prey_Veng"
2019,39535.7099869363,1.65,1.66,-0.0100000000000002,"Pursat"
2019,86602.9624394022,1.37,1.29,0.0800000000000001,"Siem_Reap"
2019,1524.64653705163,2.98,3,-0.02,"Stung_Treng"
2019,7955.57603195261,3,3,0,"Svay_Rieng"
2019,13738.4054119051,2.33,1.87,0.46,"Takeo"
