"provname","temp_2007","precip_2007","temp_2012","precip_2012","temp_2019","precip_2019"
"Banteay Meanchey",-5,-2,-5,-2,-7,-2
"Battambang",-1,-1,-6,-1,-6,-2
"Kampong Cham",-6,-18,-7,-2,-6,-18
"Kampong Chhnang",-9,-1,-3,-1,-5,-18
"Kampong Speu",-8,-2,-4,-15,-8,-18
"Kampong Thom",-5,-1,-6,-3,-7,-1
"Kampot",-11,-2,-11,-2,-5,-18
"Kandal",-11,-2,-5,-2,-11,-2
"Kep",-6,-3,-5,-5,-6,-2
"Koh Kong",-2,-2,-8,-3,-4,-16
"Kratie",-6,-1,-7,-1,-10,-2
"Otdar Meanchey",-8,-1,-7,-2,-3,-18
"Pailin",-9,-2,-6,-6,-8,-3
"Phnom Penh",-11,-3,-7,-4,-8,-2
"Preah Sihanouk",-11,-1,-11,-4,-9,-2
"Preah Vihear",-6,-1,-7,-1,-7,-1
"Prey Veng",-4,-18,-1,-15,-5,-18
"Pursat",-5,-18,-7,-1,-8,-4
"Siem Reap",-8,-2,-7,-3,-3,-18
"Stung Treng",-3,-18,-9,-17,-8,-1
"Svay Rieng",-8,-1,-11,-1,-9,-3
"Takeo",-6,-2,-1,-15,-11,-2
